Style Pair,Style 1 Weight,Style 2 Weight,Final Loss
monet1 + monet2,0.5,0.5,7521.76
monet1 + monet2,0.7,0.3,7287.88
monet1 + monet2,0.3,0.7,8875.37
monet1 + monet2,0.8,0.2,7785.09
monet1 + monet2,0.2,0.8,9822.73
monet1 + monet3,0.5,0.5,9088.63
monet1 + monet3,0.7,0.3,9597.7
monet1 + monet3,0.3,0.7,9105.82
monet1 + monet3,0.8,0.2,9579.56
monet1 + monet3,0.2,0.8,9224.56
monet1 + vangogh1,0.5,0.5,7586.19
monet1 + vangogh1,0.7,0.3,8029.05
monet1 + vangogh1,0.3,0.7,7357.76
monet1 + vangogh1,0.8,0.2,8433.84
monet1 + vangogh1,0.2,0.8,7524.26
monet1 + vangogh2,0.5,0.5,10923.8
monet1 + vangogh2,0.7,0.3,9329.73
monet1 + vangogh2,0.3,0.7,13178.46
monet1 + vangogh2,0.8,0.2,9022.95
monet1 + vangogh2,0.2,0.8,14744.05
monet1 + vangogh3,0.5,0.5,9770.05
monet1 + vangogh3,0.7,0.3,8560.46
monet1 + vangogh3,0.3,0.7,11150.65
monet1 + vangogh3,0.8,0.2,8558.85
monet1 + vangogh3,0.2,0.8,13051.6
monet2 + monet3,0.5,0.5,7700.8
monet2 + monet3,0.7,0.3,9015.72
monet2 + monet3,0.3,0.7,7265.05
monet2 + monet3,0.8,0.2,9913.63
monet2 + monet3,0.2,0.8,7782.52
monet2 + vangogh1,0.5,0.5,7021.48
monet2 + vangogh1,0.7,0.3,8512.09
monet2 + vangogh1,0.3,0.7,6517.56
monet2 + vangogh1,0.8,0.2,9513.49
monet2 + vangogh1,0.2,0.8,6843.62
monet2 + vangogh2,0.5,0.5,11098.73
monet2 + vangogh2,0.7,0.3,10072.34
monet2 + vangogh2,0.3,0.7,13450.5
monet2 + vangogh2,0.8,0.2,10123.94
monet2 + vangogh2,0.2,0.8,14775.3
monet2 + vangogh3,0.5,0.5,9294.61
monet2 + vangogh3,0.7,0.3,9329.11
monet2 + vangogh3,0.3,0.7,11209.29
monet2 + vangogh3,0.8,0.2,9698.47
monet2 + vangogh3,0.2,0.8,12435.93
monet3 + vangogh1,0.5,0.5,7530.56
monet3 + vangogh1,0.7,0.3,7902.84
monet3 + vangogh1,0.3,0.7,7513.83
monet3 + vangogh1,0.8,0.2,8092.03
monet3 + vangogh1,0.2,0.8,7583.93
monet3 + vangogh2,0.5,0.5,11123.55
monet3 + vangogh2,0.7,0.3,9212.59
monet3 + vangogh2,0.3,0.7,13455.16
monet3 + vangogh2,0.8,0.2,8494.39
monet3 + vangogh2,0.2,0.8,14894.13
monet3 + vangogh3,0.5,0.5,9359.25
monet3 + vangogh3,0.7,0.3,8519.93
monet3 + vangogh3,0.3,0.7,11427.09
monet3 + vangogh3,0.8,0.2,8258.75
monet3 + vangogh3,0.2,0.8,12600.07
vangogh1 + vangogh2,0.5,0.5,10542.35
vangogh1 + vangogh2,0.7,0.3,8210.79
vangogh1 + vangogh2,0.3,0.7,12973.01
vangogh1 + vangogh2,0.8,0.2,7907.59
vangogh1 + vangogh2,0.2,0.8,14620.36
vangogh1 + vangogh3,0.5,0.5,9162.98
vangogh1 + vangogh3,0.7,0.3,7937.42
vangogh1 + vangogh3,0.3,0.7,11295.83
vangogh1 + vangogh3,0.8,0.2,7697.92
vangogh1 + vangogh3,0.2,0.8,13060.15
vangogh2 + vangogh3,0.5,0.5,15107.35
vangogh2 + vangogh3,0.7,0.3,15844.8
vangogh2 + vangogh3,0.3,0.7,14787.19
vangogh2 + vangogh3,0.8,0.2,16568.15
vangogh2 + vangogh3,0.2,0.8,14930.42
